Date,MktRF,SMB,HML,RF,rawdate,,
12/29/1989,0.77,0.33,-0.28,0.03,19891229,,
1/2/1990,1.44,-0.68,-0.06,0.026,19900102,,
1/3/1990,-0.06,0.75,-0.31,0.026,19900103,,
1/4/1990,-0.71,0.42,-0.25,0.026,19900104,,
1/5/1990,-0.85,0.77,-0.23,0.026,19900105,,
1/8/1990,0.3,-0.41,-0.24,0.026,19900108,,
1/9/1990,-1.01,0.87,0.08,0.026,19900109,,
1/10/1990,-0.76,-0.06,0.32,0.026,19900110,,
1/11/1990,0.23,-0.23,0.09,0.026,19900111,,
1/12/1990,-2.33,0.34,0.38,0.026,19900112,,
1/15/1990,-0.95,0.03,0.45,0.026,19900115,,
1/16/1990,0.92,-0.78,-0.4,0.026,19900116,,
1/17/1990,-0.76,0.96,-0.27,0.026,19900117,,
1/18/1990,0.05,-0.66,-0.05,0.026,19900118,,
1/19/1990,0.31,0.1,0.04,0.026,19900119,,
1/22/1990,-2.31,0.81,0.49,0.026,19900122,,
1/23/1990,-0.07,-0.47,0.06,0.026,19900123,,
1/24/1990,-0.44,-1.09,-0.36,0.026,19900124,,
1/25/1990,-1.07,1,0.31,0.026,19900125,,
1/26/1990,-0.36,-0.56,0.44,0.026,19900126,,
1/29/1990,-0.34,-0.68,0.02,0.026,19900129,,
1/30/1990,-0.9,-0.65,0.58,0.026,19900130,,
1/31/1990,1.67,-1.22,-0.16,0.026,19900131,,
2/1/1990,0.08,0.56,-0.03,0.03,19900201,,
2/2/1990,0.73,0.3,-0.54,0.03,19900202,,
2/5/1990,0.38,0.21,-0.28,0.03,19900205,,
2/6/1990,-0.54,0.62,0.13,0.03,19900206,,
2/7/1990,1.07,-0.41,-0.27,0.03,19900207,,
2/8/1990,-0.09,0.29,-0.06,0.03,19900208,,
2/9/1990,0.24,-0.03,0.09,0.03,19900209,,
2/12/1990,-0.94,0.51,0.19,0.03,19900212,,
2/13/1990,0.14,-0.51,0.14,0.03,19900213,,
2/14/1990,0.2,-0.12,0.1,0.03,19900214,,
2/15/1990,0.78,-0.37,-0.05,0.03,19900215,,
2/16/1990,-0.5,0.53,0.2,0.03,19900216,,
2/20/1990,-1.35,0.53,0.35,0.03,19900220,,
2/21/1990,-0.21,-0.49,0.47,0.03,19900221,,
2/22/1990,-0.36,0.82,0.01,0.03,19900222,,
2/23/1990,-0.55,-0.22,0.48,0.03,19900223,,
2/26/1990,1,-1.3,-0.12,0.03,19900226,,
2/27/1990,0.54,-0.1,-0.08,0.03,19900227,,
2/28/1990,0.53,0.16,-0.11,0.03,19900228,,
3/1/1990,0.26,-0.04,-0.09,0.029,19900301,,
3/2/1990,0.8,-0.12,-0.25,0.029,19900302,,
3/5/1990,-0.37,0.56,-0.14,0.029,19900305,,
3/6/1990,1.07,-0.46,-0.38,0.029,19900306,,
3/7/1990,-0.22,0.66,-0.26,0.029,19900307,,
3/8/1990,0.84,-0.21,-0.52,0.029,19900308,,
3/9/1990,-0.53,0.47,0.03,0.029,19900309,,
3/12/1990,0.15,-0.21,-0.04,0.029,19900312,,
3/13/1990,-0.69,0.49,0.28,0.029,19900313,,
3/14/1990,0.23,0.17,-0.35,0.029,19900314,,
3/15/1990,0.25,0.05,-0.17,0.029,19900315,,
3/16/1990,0.9,-0.4,-0.6,0.029,19900316,,
3/19/1990,0.38,-0.24,-0.74,0.029,19900319,,
3/20/1990,-0.55,0.35,0.2,0.029,19900320,,
3/21/1990,-0.45,0.45,-0.03,0.029,19900321,,
3/22/1990,-1.22,0.32,0.36,0.029,19900322,,
3/23/1990,0.44,0.09,-0.36,0.029,19900323,,
3/26/1990,0.17,0.05,-0.12,0.029,19900326,,
3/27/1990,0.8,-0.71,-0.31,0.029,19900327,,
3/28/1990,0.09,-0.31,0.54,0.029,19900328,,
3/29/1990,-0.35,0.17,0.12,0.029,19900329,,
3/30/1990,-0.18,0.36,0.01,0.029,19900330,,
4/2/1990,-0.42,-0.41,-0.07,0.034,19900402,,
